material,region,emission_factor_value,emission_factor_unit,emission_factor_region,emission_factor_source_note,emission_factor_confidence,emission_factor_last_updated,emission_factor_source,cost_value,cost_unit,cost_region,cost_source_note,cost_confidence,cost_last_updated,cost_source,density_value,density_unit,density_region,density_source_note,density_confidence,density_last_updated,density_source,recycled_content_value,recycled_content_unit,recycled_content_region,recycled_content_source_note,recycled_content_confidence,recycled_content_last_updated,recycled_content_source,recyclability_value,recyclability_unit,recyclability_region,recyclability_source_note,recyclability_confidence,recyclability_last_updated,recyclability_source,compostability_value,compostability_unit,compostability_region,compostability_source_note,compostability_confidence,compostability_last_updated,compostability_source,water_resistance_value,water_resistance_unit,water_resistance_region,water_resistance_source_note,water_resistance_confidence,water_resistance_last_updated,water_resistance_source,strength_rating_value,strength_rating_unit,strength_rating_region,strength_rating_source_note,strength_rating_confidence,strength_rating_last_updated,strength_rating_source,print_compatibility_value,print_compatibility_unit,print_compatibility_region,print_compatibility_source_note,print_compatibility_confidence,print_compatibility_last_updated,print_compatibility_source,supplier_availability_value,supplier_availability_unit,supplier_availability_region,supplier_availability_source_note,supplier_availability_confidence,supplier_availability_last_updated,supplier_availability_source,cost_min,cost_max,recycled_content_min,recycled_content_max
Virgin corrugated board,Global/UK benchmark,0.801,kg CO2e/kg,UK benchmark,"Virgin cardboard factor reported by Carbonfact from ADEME/DEFRA comparison; use as a benchmark, not an India-specific supplier factor.",medium,2026-09-08,https://www.carbonfact.com/blog/knowledge/yawa-recycled-packaging,,INR/kg,India,No defensible public India-wide material-only price found for a defined virgin corrugated-board grade; use supplier quote.,low,2026-09-08,,,kg/m3,Product-specific,"Corrugated board density depends on liner/medium GSM, flute profile and moisture; do not use a single universal density.",low,2026-09-08,,0.0,%,Material definition,Virgin category is defined here as 0% recycled fibre.,high,2026-09-08,,Yes,qualitative,Depends on local system and coatings,"Corrugated cardboard is widely recyclable, but actual acceptance depends on contamination/coatings/local collection.",high,2026-09-08,https://19january2017snapshot.epa.gov/warm/basic-information-about-waste-reduction-model-warm_.html,Generally yes,qualitative,Depends on inks/coatings/local rules,"Fibre board can biodegrade/compost, but coatings, adhesives and contamination can change eligibility.",medium,2026-09-08,,30,score/100,Generic uncoated board,Prototype engineering score; uncoated corrugated loses performance with moisture. Must be replaced by supplier/test data for production.,low,2026-09-08,https://packagingeurope.com/features/can-molded-pulp-finally-challenge-plastic/14480.article,70,score/100,Generic packaging use,"Prototype normalized score, not an ASTM/ECT rating. Actual strength depends on flute, GSM and board grade.",low,2026-09-08,,High,qualitative,Typical corrugated packaging,Typical corrugated packaging supports flexographic/digital/offset-laminated print; exact quality is grade/process dependent.,medium,2026-09-08,,High,qualitative,India,"Corrugated boxes are widely supplied in India; availability is market-level, not a guarantee for a specific grade/MOQ.",medium,2026-09-08,https://www.packnivo.com/blog/corrugated-box-sizes-prices-india,,,,
Recycled corrugated board,Global/UK benchmark,0.7,kg CO2e/kg,UK benchmark,Recycled cardboard factor reported by Carbonfact from DEFRA; methodology and geography differ from India.,medium,2026-09-08,https://www.carbonfact.com/blog/knowledge/yawa-recycled-packaging,,INR/kg,India,Indicative recycled kraft paper input prices in 2026; this is not finished corrugated-board price.,medium,2026-09-08,https://knjtradelink.com/blog/kraft-paper-price-per-kg-in-india-2026/,,kg/m3,Product-specific,Depends on board construction; no universal density.,low,2026-09-08,,,%,Typical corrugated grades,Industry benchmark for standard recycled-content corrugated; actual supplier declaration should override.,medium,2026-09-08,https://packprintmatrix.com/rigid-packaging/is-corrugated-cardboard-sustainable-for-packaging,Yes,qualitative,Depends on local system and coatings,Corrugated cardboard is widely recyclable; contamination/coatings can affect acceptance.,high,2026-09-08,https://19january2017snapshot.epa.gov/warm/basic-information-about-waste-reduction-model-warm_.html,Generally yes,qualitative,Depends on inks/coatings/local rules,"Fibre packaging can be compostable in suitable systems, but finished-pack specifications matter.",medium,2026-09-08,,25,score/100,Generic uncoated board,Prototype normalized score; moisture performance is construction/coating dependent.,low,2026-09-08,,65,score/100,Generic packaging use,Prototype normalized score; actual ECT/BCT depends on grade and flute.,low,2026-09-08,,High,qualitative,Typical corrugated packaging,Printability varies with liner surface and converting process.,medium,2026-09-08,,High,qualitative,India,Recycled kraft/corrugated supply is common; specific grade and MOQ must be quoted.,medium,2026-09-08,https://knjtradelink.com/blog/kraft-paper-price-per-kg-in-india-2026/,32.0,52.0,70.0,90.0
Kraft paper,Europe benchmark,1.56,kg CO2e/kg,CarbonCloud benchmark,Verified CarbonCloud footprint for uncoated kraft paper and paperboard at factory stage.,high,2026-09-08,https://apps.carboncloud.com/climatehub/product-reports/id/6767336971874,,INR/kg,India,2026 indicative ranges spanning recycled and virgin kraft grades; not a single grade price.,medium,2026-09-08,https://knjtradelink.com/blog/kraft-paper-price-per-kg-in-india-2026/,,kg/m3,Product-specific,"Paper density depends on basis weight, caliper and grade; use supplier GSM/caliper to derive apparent density.",low,2026-09-08,,,%,Product-specific,Kraft paper may be virgin or recycled; supplier declaration required.,high,2026-09-08,,"Yes, usually",qualitative,Depends on coatings/contamination/local system,Uncoated paper is generally recyclable; laminations/coatings can change the result.,high,2026-09-08,https://www.reuters.com/sustainability/boards-policy-regulation/promise-peril-paperisation--ecmii-2026-07-21/,Generally yes if uncoated,qualitative,Local composting rules,Uncoated fibre is generally biodegradable; additives/coatings may alter eligibility.,medium,2026-09-08,,20,score/100,Uncoated kraft,Uncoated kraft has limited moisture resistance; coatings can improve it.,medium,2026-09-08,https://packagingeurope.com/features/can-molded-pulp-finally-challenge-plastic/14480.article,60,score/100,Generic packaging use,Prototype normalized score; actual strength depends on BF/ECT/GSM and fibre.,low,2026-09-08,,High,qualitative,Typical packaging grades,Printability depends on surface treatment and printing process.,medium,2026-09-08,,High,qualitative,India,"Multiple grades are commercially available; prices vary by GSM, recycled content and order volume.",high,2026-09-08,https://knjtradelink.com/blog/kraft-paper-price-per-kg-in-india-2026/,32.0,80.0,,
Molded pulp,Europe benchmark,1.12,kg CO2e/kg,CarbonCloud benchmark,Verified CarbonCloud footprint for molded pulp box/carton at factory stage.,high,2026-09-08,https://apps.carboncloud.com/climatehub/product-reports/id/10317021719035,,INR/kg,India,No robust public material-only India price found; molded pulp is strongly tooling/design dependent. Use supplier quote.,low,2026-09-08,,,kg/m3,Product-specific,"Depends strongly on wet/dry molding process, wall thickness and fibre furnish.",low,2026-09-08,,,%,Product-specific,Can range from recycled paper fibre to virgin/agricultural fibres; supplier declaration required.,high,2026-09-08,,Usually yes if fibre-based and clean,qualitative,Depends on additives/coatings/local system,"Fibre packaging can be recyclable, but barriers/coatings and local acceptance matter.",medium,2026-09-08,https://packagingeurope.com/features/can-molded-pulp-finally-challenge-plastic/14480.article,Generally yes,qualitative,Depends on additives/coatings/local system,"Traditional moulded pulp is fibre based, but coatings/barriers can alter end-of-life.",medium,2026-09-08,https://packagingeurope.com/features/can-molded-pulp-finally-challenge-plastic/14480.article,25,score/100,Uncoated molded pulp,Molded pulp can lose strength in humid conditions; barriers/coatings can improve this.,high,2026-09-08,https://packagingeurope.com/features/can-molded-pulp-finally-challenge-plastic/14480.article,65,score/100,Protective inserts,Prototype normalized score; actual compression/drop performance is design-specific.,low,2026-09-08,,Medium,qualitative,Typical molded fibre,Surface finish varies substantially by process; printed appearance is generally less precise than coated paper/plastic film.,medium,2026-09-08,https://packagingeurope.com/features/can-molded-pulp-finally-challenge-plastic/14480.article,Medium,qualitative,India,"Commercially available, but custom molded pulp normally requires tooling and supplier qualification.",medium,2026-09-08,,,,,
Honeycomb paper,Global prototype,,kg CO2e/kg,Product-specific,No sufficiently comparable public factor found in this research pass. Do not silently substitute ordinary paper; honeycomb conversion adds process and geometry effects.,low,2026-09-08,,,INR/kg,India,Supplier/converter quote required; pricing is product-format and roll-width dependent.,low,2026-09-08,,,kg/m3,Product-specific,Apparent density is geometry-dependent and should be derived from finished product mass/volume.,low,2026-09-08,,,%,Product-specific,Depends on paper furnish.,low,2026-09-08,,Usually yes if uncoated,qualitative,Local system,Paper-based construction can be recyclable; adhesives/coatings may change acceptance.,medium,2026-09-08,,Generally yes if uncoated,qualitative,Local system,Fibre-based construction is generally biodegradable; finished construction matters.,medium,2026-09-08,,20,score/100,Uncoated paper,Prototype default; coating and basis weight can change moisture performance.,low,2026-09-08,,75,score/100,Cushioning/protection use,Prototype normalized score reflecting cellular structure; validate with compression/drop tests.,low,2026-09-08,,Medium,qualitative,Typical honeycomb paper,Printability is generally inherited from the paper face; finished geometry limits some printing.,low,2026-09-08,,Medium,qualitative,India,"Available through packaging converters, but not as ubiquitous as corrugated board.",low,2026-09-08,,,,,
Paper tape,Global prototype,,kg CO2e/kg,Product-specific,"Depends on paper, adhesive chemistry and coating; use supplier EPD/PCF rather than a generic tape factor.",low,2026-09-08,,,INR/roll,India,Tape is normally priced by roll/length rather than kg; use supplier quote and normalize to ₹/m.,low,2026-09-08,,,kg/m3,Product-specific,Not useful as a single material property for a multilayer tape.,low,2026-09-08,,,%,Product-specific,Depends on paper backing and adhesive.,low,2026-09-08,,Depends,qualitative,Recycling system and adhesive dependent,Tape can affect fibre recovery; use converter/recycler guidance for the exact tape construction.,medium,2026-09-08,,Depends,qualitative,Product-specific,Paper backing does not guarantee the adhesive is compostable.,high,2026-09-08,,35,score/100,Generic paper tape,Prototype score; adhesive and coating determine actual resistance.,low,2026-09-08,,55,score/100,Sealing use,Prototype normalized score; actual tensile/adhesion performance is product-specific.,low,2026-09-08,,High,qualitative,Paper tape,Paper surfaces can generally accept printing; exact ink/coating compatibility is supplier-specific.,medium,2026-09-08,,High,qualitative,India,Paper tapes are commercially common; exact recyclable/compostable construction must be verified.,medium,2026-09-08,,,,,
PLA bioplastic,Global,,kg CO2e/kg,Product-specific,NatureWorks publishes an Eco-Profile methodology but this research pass did not retrieve a current numeric factor suitable for direct use. Leave null rather than inventing one.,low,2026-09-08,https://natureworksllc.com/sustainability/eco-profile-life-cycle-analyses/eco-profile,,INR/kg,India,Grade and imported/local supply strongly affect price; supplier quote required.,low,2026-09-08,,1.24,g/cm3,NatureWorks Ingeo 4043D,Technical property for a specific PLA film grade; do not generalize to every PLA formulation.,high,2026-09-08,https://plastics-database.org/grade/natureworks-ingeo-4043d,0.0,%,Generic virgin PLA,Set to 0 for the virgin PLA baseline; recycled PLA is a different material record.,medium,2026-09-08,,Limited/region dependent,qualitative,Local system,PLA recycling infrastructure is not equivalent to PET/PE recycling and is highly location dependent.,medium,2026-09-08,https://19january2017snapshot.epa.gov/warm/basic-information-about-waste-reduction-model-warm_.html,Industrial composting only for certified grades,qualitative,Facility/product specific,Do not label PLA simply 'compostable' without certification and a suitable industrial composting system.,high,2026-09-08,,70,score/100,PLA film/resin,Prototype score; grade and film thickness determine barrier performance.,medium,2026-09-08,https://plastics-database.org/grade/natureworks-ingeo-4043d,60,score/100,PLA film/resin,Prototype normalized score; use grade-specific tensile/impact data for engineering.,medium,2026-09-08,https://plastics-database.org/grade/natureworks-ingeo-4043d,High,qualitative,Film/resin grade dependent,Specific PLA film grades are designed for film conversion and printing/packaging applications; validate ink adhesion.,medium,2026-09-08,https://plastics-database.org/grade/natureworks-ingeo-4043d,Medium,qualitative,India,"Commercial PLA exists, but availability depends on grade and converter capability.",medium,2026-09-08,https://natureworksllc.com/technologies-and-products/products/3d-series-for-3d-printing,,,,
Recycled PET,Europe benchmark,1.72,kg CO2e/kg,Europe,"Verified CarbonCloud footprint for recycled PET plastic film roll stock; use as a packaging-film benchmark, not generic rPET resin.",high,2026-09-08,https://apps.carboncloud.com/climatehub/product-reports/id/3213687275485,,INR/kg,India,"Grade, PCR percentage and food-contact status materially affect price; supplier quote required.",low,2026-09-08,,1.39,g/cm3,Generic PET,MatWeb technical data for a PET grade; rPET density can be similar but exact grade should be verified.,high,2026-09-08,https://www.matweb.com/search/datasheet.aspx?matguid=8063d95912254b799aa6102ca56ca3e2&n=1,100.0,%,Material definition,This record represents recycled PET as the polymer feedstock; actual finished packaging may contain virgin content/additives.,medium,2026-09-08,,"Yes, widely established",qualitative,Depends on collection/format,"PET is widely recyclable, but actual packaging recyclability depends on format, labels, colours and local infrastructure.",high,2026-09-08,https://19january2017snapshot.epa.gov/warm/basic-information-about-waste-reduction-model-warm_.html,No,qualitative,General,PET is not compostable.,high,2026-09-08,https://www.matweb.com/search/datasheet.aspx?matguid=8063d95912254b799aa6102ca56ca3e2&n=1,90,score/100,PET film,Prototype score; PET has low moisture absorption and is used as a barrier film.,high,2026-09-08,https://www.matweb.com/search/datasheet.aspx?matguid=8063d95912254b799aa6102ca56ca3e2&n=1,80,score/100,PET film/resin,Prototype normalized score based on PET mechanical performance; exact film grade required for design.,medium,2026-09-08,https://www.matweb.com/search/datasheet.aspx?matguid=8063d95912254b799aa6102ca56ca3e2&n=1,High,qualitative,Film-specific,PET packaging films are widely printed after surface treatment; exact ink/process is grade dependent.,medium,2026-09-08,,Medium,qualitative,India,"rPET packaging grades exist, but food-contact and film grades require specific supplier qualification.",medium,2026-09-08,,,,,
LDPE mailer,Germany benchmark,1.92,kg CO2e/kg,Germany,"BAFA factor retrieved through Climatiq for LDPE; material-level benchmark, not India-specific film conversion.",medium,2026-09-08,https://www.climatiq.io/data/emission-factor/d6d49547-7084-445c-b722-778d0655fd0a,,INR/kg,India,"Mailer cost depends strongly on thickness, size, printing and order volume; use supplier quote per piece and derive material cost.",low,2026-09-08,,0.922,g/cm3,LyondellBasell grade,ASTM D1505 density for a specific LDPE resin grade.,high,2026-09-08,https://www.matweb.com/search/datasheet_print.aspx?matguid=f0b5c9c8bc3448bd86712b6c790ee033,0.0,%,Virgin LDPE baseline,Baseline record assumes virgin LDPE; PCR/ recycled LDPE should be separate records.,high,2026-09-08,,Yes in principle; collection limited for films,qualitative,Local system,"LDPE is recyclable as a polymer, but flexible film collection is less universal than rigid PET.",medium,2026-09-08,https://19january2017snapshot.epa.gov/warm/basic-information-about-waste-reduction-model-warm_.html,No,qualitative,General,Conventional LDPE is not compostable.,high,2026-09-08,,95,score/100,LDPE film,Prototype score; LDPE is commonly used where moisture resistance is required.,high,2026-09-08,https://www.matweb.com/search/datasheettext.aspx?matguid=8413d0001bc146fcad5d799d095b5462,65,score/100,Mailer film,Prototype normalized score; puncture/tear strength depends on film gauge and grade.,medium,2026-09-08,https://www.matweb.com/search/datasheettext.aspx?matguid=8413d0001bc146fcad5d799d095b5462,High,qualitative,Film conversion,LDPE films can be printed after appropriate surface treatment; exact process is converter dependent.,medium,2026-09-08,https://www.matweb.com/search/datasheettext.aspx?matguid=8413d0001bc146fcad5d799d095b5462,High,qualitative,India,PE film/mailer supply is widespread; exact PCR content and thickness must be verified.,high,2026-09-08,,,,,
Mycelium packaging,Supplier-specific/global,-1.305,kg CO2e/kg,Supplier-specific cradle-to-gate,Myco reports this value from an emissions audit for its own mycelium packaging. This must NOT be treated as a generic mycelium factor.,low,2026-09-08,https://www.myco.cz/en/blog/myco-packaging-has-a-negative-carbon-footprint/,,INR/kg,India,Highly design/tooling/supplier dependent; quote required.,low,2026-09-08,,,kg/m3,Product-specific,"Depends on substrate, growth and final density; use supplier datasheet.",low,2026-09-08,,,%,Product-specific,Feedstock is typically agricultural/organic residue rather than recycled polymer; do not map this to recycled-content percentage without a supplier definition.,high,2026-09-08,,Usually not conventional material recycling,qualitative,Local system,Mycelium products are generally designed for biological end-of-life rather than conventional plastic recycling.,medium,2026-09-08,https://link.springer.com/article/10.1007/s43621-025-02025-8,Potentially yes,qualitative,Product-specific,"Must be verified for the actual substrate, binder/additives and certification.",medium,2026-09-08,https://link.springer.com/article/10.1007/s43621-025-02025-8,30,score/100,Generic mycelium packaging,Prototype score; water resistance varies with coating and composite formulation.,low,2026-09-08,https://link.springer.com/article/10.1007/s43621-025-02025-8,60,score/100,Protective packaging,Prototype normalized score; actual compression/impact performance is formulation-specific.,low,2026-09-08,https://link.springer.com/article/10.1007/s43621-025-02025-8,Low,qualitative,Typical molded mycelium,Surface texture generally limits conventional high-resolution print; labels/overwrap may be more suitable.,low,2026-09-08,,Low/Medium,qualitative,India/global,Emerging category with fewer suppliers than paper/plastic packaging.,low,2026-09-08,,,,,
